NBFC Name,Regional Office,CoR for Public Deposits,Classification-Detailed,Classification-Abbreviated,CIN,Layer,Listing Status,Industry Segment,Year of Incorporation,Incorporation Type-Abbr,Incorporation Type,,AUM (Rs Cr.),State,Region,Entity_Type,Left_Blank,Size_category,Target_Segment
Diligent Services Private Limited,Kanpur,No,Investment and Credit Company,ICC,U74899UP1995PTC049530,Middle,U,,1995,PTC, Private Limited Company,,,Delhi,North,NBFC,,Medium,No
Divya Management Ltd,Kolkata,No,Investment and Credit Company,ICC,U51109WB1995PLC069518,Middle,U,Activities of commission agents n.e.c.,1995,PLC, Public Limited Company,,,Delhi,North,NBFC,,Medium,No
Diwakar Finvest Private Limited,Kolkata,No,Core Investment Company,CIC,U70101WB1996PTC081001,Middle,U,"Purchase, sale letting of leased residential buildings",1996,PTC, Private Limited Company,,,Maharashtra,West,NBFC,,Medium,No
DMI Finance Pvt Ltd.,New Delhi,No,Investment and Credit Company,ICC,U65929DL2008PTC182749,Middle,U,Extending of loans by money lenders,2008,PTC, Private Limited Company,,,Karnataka,South,NBFC,,Medium,No
Doli Trading & Investments Prvt. Ltd,Mumbai,No,Investment and Credit Company,ICC,U67120MH1979PTC021048,Middle,U,Activity of stock brokers,1979,PTC, Private Limited Company,,2649.882,West Bengal,East,NBFC,,Large,Yes
Dotex Merchandise Pvt Ltd,Kolkata,No,Investment and Credit Company,ICC,U51909WB1994PTC066069,Middle,U,Other wholesale n.e.c.,1994,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Medium,No
DSP Finance Private Limited,Mumbai,No,Investment and Credit Company,ICC,U64920MH1996PTC099483,Middle,U,,1996,PTC, Private Limited Company,,,Rajasthan,North,NBFC,,Medium,No
Dvara Kshetriya Gramin Financial Services Private Limited,Chennai,No,Investment and Credit Company,ICC,U65991TN1993PTC024547,Middle,U,Activities of Mutual Funds including Unit Trust of India,1993,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Medium,No
Earlysalary Services Private Limited (Old Name Ashish Securities Pvt. Ltd.),Mumbai,No,Investment and Credit Company,ICC,U67120PN1994PTC184868,Middle,U,Activity of stock brokers,1994,PTC, Private Limited Company,,,Uttar Pradesh,South,NBFC,,Medium,No
East India Investment Co (P) Ltd,Kolkata,No,Investment and Credit Company,ICC,U65993WB1951PTC019688,Middle,U,Investment activity of ICICI etc. i.e. accepting funds from pubic in different investment plans like flexi bonds etc.,1951,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Medium,No
ECHT Finance  Ltd.,New Delhi,No,Investment and Credit Company,ICC,U65921DL1997PLC087194,Middle,U,Activities of hire- purchase financing,1997,PLC, Public Limited Company,,,West Bengal,East,NBFC,,Medium,No
HDB Financial Services Limited,Ahmedabad,No,Investment and Credit Company,ICC,U65993GJ2007PLC051028,Upper,U,Investment activity of ICICI etc. i.e. accepting funds from pubic in different investment plans like flexi bonds etc.,2007,PLC, Public Limited Company,,,Tamil Nadu,South,NBFC,,Medium,No
L&T Finance Limited (Formerly known as L & T Finance Holdings Limited),Mumbai,No,Investment and Credit Company,ICC,L67120MH2008PLC181833,Upper,L,Activity of stock brokers,2008,PLC, Public Limited Company,,,Kerala,South,NBFC,,Medium,No
Mahindra & Mahindra Financial Services Ltd,Mumbai,Yes,Investment and Credit Company,ICC,L65921MH1991PLC059642,Upper,L,Activities of hire- purchase financing,1991,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Muthoot Finance  Limited,Thiruvananthapuram,No,Investment and Credit Company,ICC,L65910KL1997PLC011300,Upper,L,Financial leasing,1997,PLC, Public Limited Company,,,Tamil Nadu,South,NBFC,,Medium,No
Sammaan Capital Limited (Formerly Indiabulls Housing Finance Limited),New Delhi,No,Investment and Credit Company,ICC,L65922DL2005PLC136029,Upper,L,Activities of housing finance companies.,2005,PLC, Public Limited Company,,,Delhi,North,NBFC,,Medium,No
Shriram Finance Limited [Formerly: Shriram Transport Finance Company Limited],Chennai,Yes,Investment and Credit Company,ICC,L65191TN1979PLC007874,Upper,L,Banking Activity by Commercial Banks,1979,PLC, Public Limited Company,,9070,Kerala,South,NBFC,,Very Large,Yes
Tata Capital Limited,Mumbai,No,Investment and Credit Company,ICC,U65990MH1991PLC060670,Upper,U,,1991,PLC, Public Limited Company,,,Gujarat,West,NBFC,,Medium,No
Tata Sons Private Limited (Formerly Tata Sons Limited) ,Mumbai,No,Core Investment Company,CIC,U99999MH1917PTC000478,Upper,U,,1917,PTC, Private Limited Company,,1232,Rajasthan,North,NBFC,,Large,Yes
Zoho Finance Private Limited,Chennai,No,Investment and Credit Company,ICC,U65991TN2022PTC152892,"below ?1,000 crore AUM",U,Activities of Mutual Funds including Unit Trust of India,2022,PTC, Private Limited Company,,,Tamil Nadu,South,NBFC,,Small,No
Zonex Exim & Fincon (P) Ltd,Kolkata,No,Investment and Credit Company,ICC,U51109WB1992PTC054465,"below ?1,000 crore AUM",U,Activities of commission agents n.e.c.,1992,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Small,No
Zoom Construction & Holding Co (P) Ltd,Kolkata,No,Investment and Credit Company,ICC,U70109WB1980PTC033239,"below ?1,000 crore AUM",U,Real Estate Activities nec. of leased in property,1980,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Small,No
Zoom Supply (P) Ltd,Kolkata,No,Investment and Credit Company,ICC,U51909WB1996PTC078327,"below ?1,000 crore AUM",U,Other wholesale n.e.c.,1996,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Small,No
Zuari Goods & Services Pvt Ltd,Kolkata,No,Investment and Credit Company,ICC,U51109WB1995PTC068332,"below ?1,000 crore AUM",U,Activities of commission agents n.e.c.,1995,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Small,No
Zulu Merchandise Pvt Ltd,Kolkata,No,Investment and Credit Company,ICC,U51109WB1995PTC075349,"below ?1,000 crore AUM",U,Activities of commission agents n.e.c.,1995,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Small,No
Zweig Securities (P) Limited,Kolkata,No,Investment and Credit Company,ICC,U70101WB1995PTC068636,"below ?1,000 crore AUM",U,"Purchase, sale letting of leased residential buildings",1995,PTC, Private Limited Company,,,West Bengal,East,NBFC,,Small,No
Chaitanya India Fin Credit Private Limited,Bengaluru,No,Micro Finance Institution,MFI,U67190KA2009PTC049494,Middle,U,Activities auxiliary to financial intermediation n.e.c.,2009,PTC, Private Limited Company,,,Karnataka,South,NBFC,,Medium,No
Madura Micro Finance Limited,Chennai,No,Micro Finance Institution,MFI,U65929TN2005PLC057390,Middle,U,Extending of loans by money lenders,2005,PLC, Public Limited Company,,,Tamil Nadu,South,NBFC,,Medium,No
Sonata Finance Private Limited- MFI,Kanpur,No,Micro Finance Institution,MFI,U65921UP1995PTC035286,Middle,U,Activities of hire- purchase financing,1995,PTC, Private Limited Company,,,Uttar Pradesh,South,NBFC,,Medium,No
Margdarshak Financial Services Limited,Kanpur,No,Micro Finance Institution,MFI,U65921UP1996PLC019924,"below ?1,000 crore AUM",U,Activities of hire- purchase financing,1996,PLC, Public Limited Company,,,Uttar Pradesh,South,NBFC,,Small,No
Mitrata Inclusive Financial Services Pvt. Ltd.,New Delhi,No,Micro Finance Institution,MFI,U74899DL1985PTC020900,"below ?1,000 crore AUM",U,,1985,PTC, Private Limited Company,,,Delhi,North,NBFC,,Small,No
Sanghamithra Rural Financial services,Bengaluru,No,Micro Finance Institution,MFI,"	U85110KA1995NPL017199","below ?1,000 crore AUM",U,,1986,NPL, Not-for-Profit License Company,,,Karnataka,South,NBFC,,Small,No
Capital India,Hyderabad,No,Micro Finance Institution,MFI,U67190TG2014PTC093562,"below ?1,000 crore AUM",U,,1987,PTC, Private Limited Company,,,Telangana,South,NBFC,,Small,No
